Quarter,y_lso,pi_lso,i_lso,r_lso,z_lso,res_lso,prem_lso,y_zaf,pi_zaf,i_zaf
1,0.0732631764203612,0.09150265892013899,0.05469775589125542,-0.09841524304174774,-0.04722674545468195,0,-5.765846122766291e-18,0.07048650447400431,0.07318686481504873,0.05469775589125542
2,0.1229912721906275,0.1531129989330032,0.09712992973503973,-0.07866566907697209,-0.09201726985844134,0.01416802363640457,-0.007084011818202253,0.08445209276055277,0.1223651808853461,0.1042139415532419
3,0.1417518561575783,0.1757955988120118,0.1162279200797371,-0.05156132737855362,-0.1253527551027621,0.04106480341211682,-0.0205324017060583,0.06720257971795125,0.1403576347726171,0.1367603217857954
4,0.1356951961678808,0.1677892474582908,0.1114666568472328,-0.0304910523466807,-0.1395905661559646,0.07661738977233945,-0.03830869488616967,0.03772488375392042,0.1338654484163204,0.1497753517334024
5,0.1146095042442841,0.1419577091939135,0.08903845001610651,-0.02069799238735119,-0.1330213771366004,0.114663690130512,-0.05733184506525583,0.008603445792755455,0.1133053331328423,0.1463702950813623
6,0.08733669700352506,0.1097364424034577,0.05764268275632616,-0.0212869988252006,-0.1093608982403802,0.1488369187649665,-0.07441845938248311,-0.01343760445251875,0.08790226815257633,0.1320611421388092
7,0.06011209822634859,0.07892968158152677,0.02534865849134221,-0.02825601762609012,-0.07530383436480075,0.1742033422988323,-0.08710167114941599,-0.02625184283982992,0.06390165702493951,0.1124503296407582
8,0.03643520162567603,0.05360467611743233,-0.002087307574429665,-0.03702902621807439,-0.0379977832071972,0.1880843254933309,-0.09404216274666533,-0.03066309736474523,0.04449587571101325,0.09195485517223564
9,0.01763359337713734,0.03494171864364472,-0.0216577088627194,-0.04399277868967327,-0.003287442280048705,0.1900794441808236,-0.09503972209041166,-0.02896091583672459,0.03053332029936032,0.07338201322769226
10,0.003623091808017107,0.02233506982695386,-0.03272785632357102,-0.04709063771404573,0.02508934234814679,0.1815617046557971,-0.09078085232789841,-0.02375910700926246,0.02142929687494955,0.05805299600432739
11,-0.006403535341738564,0.01436278139047471,-0.03628637338997547,-0.04575653016720926,0.04553101494314708,0.1649568167185631,-0.08247840835928151,-0.01729645822173143,0.01596366522590932,0.04619203496930604
12,-0.01347238882468554,0.009470156777233783,-0.03415277760517877,-0.04050641387397694,0.05813204266654982,0.1430496713996909,-0.07152483569984541,-0.01113076598276325,0.01283825398340516,0.03737205809466662
13,-0.01852548282382091,0.006353636268798168,-0.02833546810046537,-0.03244059267824039,0.06406275932260028,0.1184575750297414,-0.05922878751487071,-0.006114605964952731,0.01098500697475338,0.03089331941440532
14,-0.02228458530516097,0.004105124577775004,-0.02061384184772467,-0.02281449204785199,0.06497748790301378,0.09331586848147477,-0.04665793424073717,-0.002530725409126806,0.009676270904065235,0.0260440923930125
15,-0.0252287966218841,0.002200650200127319,-0.01233620045224235,-0.01274725044928253,0.06256375698521102,0.06915682868649675,-0.03457841434324829,-0.0002858545528864355,0.008507849355598335,0.02224221389100594
16,-0.02763448177565145,0.0004110499970401797,-0.004382077273034133,-0.003074182914694263,0.05826616509441103,0.0469298601566086,-0.02346493007830425,0.000904766528524152,0.00731967044095303,0.01908285280527012
17,-0.02963794085682796,-0.001307894358339876,0.002774631329707432,0.005686201578873623,0.05316667048107518,0.02710351762045526,-0.01355175881022742,0.001376921717250907,0.006101590855867103,0.01632639013993485
18,-0.03129572442414122,-0.002911570249166191,0.008958210028081209,0.01329237558554184,0.04797822425918186,0.009798340595109423,-0.004899170297554795,0.00143042017696948,0.004912360856869101,0.01385738032563601
