Quarter,y_lso,pi_lso,i_lso,r_lso,z_lso,res_lso,prem_lso,y_zaf,pi_zaf,i_zaf
1,0.7280309421707442,0.59197697452964,0.2844516880522666,-0.3625824590888339,-0.6473404267749894,0,-5.846549727868496e-17,1.022624564845052,0.4099692389869541,0.2844516880522667
2,0.9174846691336275,0.6470341471411004,0.2776840174378287,-0.2211279637085263,-1.034827782104024,0.1942021280324964,-0.09710106401624802,0.4566820610457973,0.4176629798576932,0.3747850814540766
3,0.8820633082211299,0.498811981146355,0.09024015417505883,-0.2272706032810526,-1.155211290583181,0.4949403562620782,-0.2474701781310388,0.08560225096686581,0.2782961540910723,0.3377103323060976
4,0.7802164714811746,0.3175107574561115,-0.1682704122668052,-0.3450244001213071,-1.076297503917209,0.816756725623927,-0.4083783628119635,-0.1225637339560628,0.1224566395858179,0.2401079505451584
5,0.6841288254436864,0.1767539878545019,-0.4173446936163058,-0.5130939786154964,-0.8871070214345081,1.098808140517893,-0.5494040702589466,-0.2072763274846354,0.005721781493580482,0.1320593766426407
6,0.618858956857021,0.09574928499919055,-0.6121941513267192,-0.6788947475730175,-0.6656455803403598,1.309999839922351,-0.6549999199611751,-0.2107411554647714,-0.0589654542150644,0.04280576863445604
7,0.5856943254057635,0.06670059624629804,-0.7383437213284257,-0.8103508867588586,-0.4650007536821086,1.444193522028341,-0.7220967610141703,-0.1707503328817046,-0.0797229851051424,-0.01624696031425544
8,0.5761086103071693,0.07200716543043276,-0.8015144241813125,-0.8955122749189834,-0.3120092653189726,1.511484072031556,-0.7557420360157782,-0.1159806594427885,-0.07201998714635906,-0.04577238816553438
9,0.5796136482786252,0.09399785073767068,-0.8174780081469566,-0.9368695524368781,-0.2127213335844464,1.52951264802567,-0.7647563240128352,-0.06463833091817847,-0.05090556133198508,-0.05272168413412127
10,0.5875672613751358,0.1193915442899214,-0.80426265316902,-0.9446337601920393,-0.1601489310824171,1.516853415699721,-0.7584267078498605,-0.0256470727686454,-0.02750027105386208,-0.04583594531915951
11,0.5944316080652832,0.1403711070230191,-0.7773944463224965,-0.931203310785133,-0.1414380034085068,1.489055424239461,-0.7445277121197302,-0.001141795615997494,-0.008236794993301164,-0.03286673420276637
12,0.5976039993054487,0.1538088644626361,-0.7478385028336091,-0.907605175381263,-0.1431009028232713,1.45703405405004,-0.7285170270250199,0.01079338467020499,0.004407864636274495,-0.01932147580858928
13,0.5966197380870448,0.1597666725476537,-0.7218510344712364,-0.8818296299905745,-0.1540304439332266,1.427112622194519,-0.7135563110972597,0.01381361120317331,0.01061173802589299,-0.008294723373976689
14,0.5922377732019555,0.159978595519338,-0.7018948091832533,-0.8585683561807332,-0.1666475657028605,1.401966124264762,-0.7009830621323808,0.01171528396353005,0.01191915221884962,-0.0009117470508725547
15,0.585682081492121,0.1566735469974797,-0.6879295046504021,-0.8397722416974222,-0.1767874059121386,1.381862087762382,-0.690931043881191,0.007558535338230634,0.01025302662444987,0.003001539230788781
16,0.5781386004369951,0.1518427370470199,-0.6786261287541777,-0.8255316607556374,-0.1829270408982206,1.365805205147905,-0.6829026025739523,0.003360899452551255,0.007308086937771612,0.004276473819774635
17,0.5704999203779569,0.1469055320014597,-0.6722808113592204,-0.8149407872783374,-0.1852230944735083,1.352393057159976,-0.6761965285799879,0.0001600169574609423,0.004280551906970994,0.003915717220767599
18,0.563297399823094,0.142659975919117,-0.6673731291667578,-0.8067677877872456,-0.1846519211886752,1.34034033264403,-0.6701701663220149,-0.001741735896253752,0.001835625963343951,0.00279703715525717
19,0.5567469947303462,0.1393946586204879,-0.6628166207600608,-0.7998777111749811,-0.1823870636648824,1.328718892368431,-0.6643594461842155,-0.002489371796086181,0.0002079099379017709,0.001542825424154752
20,0.550844691982641,0.1370610904149201,-0.6579933236612664,-0.793433271314722,-0.1794348710120383,1.316999066849474,-0.6584995334247372,-0.002427036985733234,-0.0006500825807396785,0.0005062097634705793
21,0.5454667738823976,0.1354399476534553,-0.6526676697780938,-0.7869350003193839,-0.176483892126762,1.304979574810612,-0.6524897874053062,-0.001924620251697709,-0.0009267458171436187,-0.0001778823727875362
22,0.5404502519137304,0.1342673305412901,-0.6468562122013858,-0.7801681661031205,-0.1738985175818923,1.29267576370811,-0.6463378818540553,-0.001281562917899746,-0.0008452324371420872,-0.0005183303473305869
23,0.5356448631056334,0.1333119539017346,-0.6407030399534157,-0.7731123249119992,-0.171789046319155,1.280211530797273,-0.6401057653986365,-0.000692276141703914,-0.0005992618746733104,-0.0005972745547793468
24,0.5309383907843983,0.1324092849585833,-0.634385817025571,-0.7658511130504421,-0.1701059520662769,1.267737668153155,-0.6338688340765779,-0.0002514893713716197,-0.0003253127375158445,-0.0005169829489930429
25,0.5262621532886816,0.131465296024871,-0.6280587959188346,-0.7585020263064706,-0.168725703294988,1.255382570365382,-0.6276912851826907,2.062779076308467e-05,-0.0001002422972989454,-0.0003675107361440576
26,0.5215846761984878,0.1304432303876357,-0.6218279762441907,-0.7511721948697367,-0.1675129173278911,1.243231152835609,-0.6216155764178044,0.0001485199379344502,4.706133801417305e-05,-0.0002123998263863447
27,0.5169004133450668,0.1293442186255459,-0.6157487544585266,-0.743937598863868,-0.1663561220390671,1.231323470392196,-0.6156617351960979,0.0001754054907073114,0.0001191152892796478,-8.70192624286836e-05
28,0.5122182584637922,0.1281888444053413,-0.6098359958874168,-0.736839215557427,-0.1651815607591419,1.219664133484306,-0.6098320667421532,0.0001453379506650817,0.000134279789393697,-3.929145263502174e-06
29,0.5075524193976446,0.1270032196700103,-0.6040784617128699,-0.7298889345843371,-0.1639522613661985,1.208235395037834,-0.6041176975189169,9.342519553405358e-05,0.0001151148205996007,3.923580604694624e-05
30,0.5029165099866404,0.1258104728714671,-0.5984523596224488,-0.7230793077990567,-0.1626594596106318,1.197009303695801,-0.5985046518479009,4.254014807360225e-05,8.134537480744192e-05,5.229222545215179e-05
31,0.4983206156140843,0.1246269481766079,-0.5929314391413532,-0.7163931555088004,-0.1613118286951669,1.185956676394201,-0.5929783381971008,4.208450614301722e-06,4.679427308724259e-05,4.689905574750301e-05
32,0.4937705579462539,0.1234617163674472,-0.5874930241349969,-0.7098109590173555,-0.1599258958306814,1.175052391183042,-0.5875261955915208,-1.847346033688435e-05,1.90768808842006e-05,3.317145652387059e-05
33,0.4892684718253796,0.1223179348823586,-0.5821205526724605,-0.7033154333740869,-0.1585191834282755,1.164277540373094,-0.582138770186547,-2.747504835619569e-05,8.169260142061384e-07,1.821751408659766e-05
34,0.4848139409106332,0.1211948807016264,-0.576803693230958,-0.6968935816198639,-0.157106296567135,1.153619418382922,-0.5768097091914611,-2.696238080047056e-05,-8.604526031487262e-06,6.015960502978874e-06
35,0.4804051735818856,0.1200898883889058,-0.5715371360487261,-0.6905369455542821,-0.1556974311399239,1.143070336433917,-0.5715351682169584,-2.131353900920197e-05,-1.140500656516737e-05,-1.967831767788537e-06
36,0.4760399378597605,0.118999809505556,-0.5663189333881151,-0.6842408297978118,-0.1542984954814054,1.132626048954198,-0.5663130244770991,-1.403297978989611e-05,-1.017495938373324e-05,-5.908911016011701e-06
37,0.4717161607290963,0.1179218964096964,-0.5611489518033574,-0.6780031379054438,-0.1529120653394311,1.12228429515091,-0.561142147575455,-7.376411247921381e-06,-7.143772577229608e-06,-6.804227902406908e-06
38,0.4674322163361809,0.1168541861020863,-0.5560277115885807,-0.6718232458714971,-0.151538576815245,1.112043699995194,-0.556021849997597,-2.431551459885445e-06,-3.867981958496206e-06,-5.861590983613038e-06
39,0.4631869848769941,0.1157955342829165,-0.5509556757854425,-0.6657011318863778,-0.1501773898251882,1.101903088040008,-0.5509515440200039,5.79262023323026e-07,-1.211936331601583e-06,-4.131765438643811e-06
40,0.4589797761899172,0.1147454561009352,-0.5459329247106548,-0.6596368237035308,-0.148827555572919,1.091861150585564,-0.545930575292782,1.946594415229284e-06,5.120534563249934e-07,-2.349417872784372e-06
