Quarter,y_lso,pi_lso,i_lso,r_lso,z_lso,res_lso,prem_lso,y_zaf,pi_zaf,i_zaf
1,0.06333902218859125,0.08902162036219645,0.05469775589125526,-0.09403773045697153,-0.04660648581519567,0,-6.424265385552466e-18,0.0704865044740043,0.07318686481504864,0.05469775589125527
2,0.1054812218515232,0.1487354863482268,0.0993202605426466,-0.07127204595344307,-0.09042668400065802,0.01398194574455847,-0.004893681010595553,0.08445209276055286,0.1223651808853461,0.1042139415532421
3,0.1209386868938905,0.1705923064960897,0.1228612070561908,-0.03970179095335306,-0.1227794633375549,0.03971175637030022,-0.0138991147296051,0.06720257971795147,0.1403576347726171,0.1367603217857959
4,0.1147901983728937,0.1625629980095439,0.1243743048263152,-0.01268014845843293,-0.1362253703816122,0.07257441973453727,-0.02540104690708787,0.03772488375392074,0.1338654484163204,0.1497753517334031
5,0.09499648060762279,0.1370544532847482,0.1092056889749147,0.004078859387275206,-0.1291034065398272,0.1061845888755668,-0.03716460610644837,0.008603445792755815,0.1133053331328424,0.146370295081363
6,0.06889824574025222,0.1051268295876396,0.08505713895632452,0.01067613228181448,-0.1050741185590073,0.1342971519499585,-0.04700400318248542,-0.01343760445251839,0.08790226815257643,0.1320611421388099
7,0.04191739859828175,0.0743810066745101,0.05911394432782612,0.01027084526805411,-0.07073724189294832,0.1523896723226645,-0.05333638531293265,-0.02625184283982957,0.06390165702493958,0.1124503296407587
8,0.01738889339503485,0.04884309905977204,0.03652469799183712,0.006763365822185128,-0.03315411496530025,0.1583718776582828,-0.05543015718039896,-0.03066309736474494,0.04449587571101326,0.09195485517223603
9,-0.003087952518833161,0.02976133216965203,0.02001368969397694,0.003366878533202601,0.001882588931966979,0.1524809243820444,-0.0533683235337156,-0.02896091583672435,0.03053332029936027,0.07338201322769253
10,-0.0191299428567004,0.01664681116077436,0.01021917666184004,0.00202362699585437,0.0306474319843042,0.1366680552642503,-0.04783381934248752,-0.02375910700926228,0.02142929687494943,0.05805299600432754
11,-0.03107246223969394,0.008195549665985673,0.006359577919419291,0.00341638662081781,0.05151929458319522,0.1138070201425334,-0.03983245704988681,-0.01729645822173128,0.01596366522590913,0.04619203496930609
12,-0.03958025073921379,0.002943191298601492,0.006932372681003991,0.007294390981892422,0.06455440774824633,0.08697052975332209,-0.03043968541366262,-0.01113076598276313,0.01283825398340493,0.03737205809466659
13,-0.04538810110256627,-0.0003620183008884182,0.01027581535567476,0.01288881534765148,0.07087956503037909,0.05890715445351535,-0.02061750405873048,-0.006114605964952616,0.01098500697475314,0.03089331941440523
14,-0.04915708358416688,-0.002612999991976716,0.01493069306834477,0.01927695773218813,0.07211046361167471,0.03175256949905059,-0.01111339932466762,-0.002530725409126689,0.009676270904065002,0.02604409239301239
15,-0.05141645607776592,-0.004346264663843354,0.01981175317803081,0.02563191376690876,0.06990686626813243,0.006944173465642578,-0.002430460712975006,-0.0002858545528863172,0.008507849355598123,0.02224221389100582
16,-0.05255932411932317,-0.005820160588877941,0.02423565912174641,0.03135040149235687,0.06569845516722767,-0.01472230376136086,0.005152806316476407,0.0009047665285242701,0.007319670440952847,0.01908285280527001
17,-0.05286533290590966,-0.007114742370610461,0.02786225361732242,0.036082809909705,0.06056421454239612,-0.03295960993539371,0.01153586347738767,0.001376921717251022,0.006101590855866952,0.01632639013993475
18,-0.05253166859700627,-0.008220556292382586,0.03059889998223642,0.03970084553165499,0.05522350601904271,-0.04783291330457295,0.0167415196566005,0.001430420176969587,0.00491236085686898,0.01385738032563591
19,-0.05170149098235332,-0.009101945549418572,0.03250307869616478,0.04223621361868059,0.05009231301487369,-0.05961667377982849,0.02086583582293993,0.001289239804546869,0.003823427196169756,0.01163724287322486
20,-0.05048510132664534,-0.009733134922515811,0.03370292590313933,0.04381522396154944,0.04536543305570648,-0.06868270030630796,0.02403894510720767,0.001095376385827316,0.002888140409145523,0.00966398079593167
21,-0.04897320922334297,-0.0101122980584101,0.03434279586657155,0.0446040501049885,0.04109767428792312,-0.07542406019238879,0.02639842106733608,0.0009220298604402478,0.002131004247425641,0.00794437479923547
22,-0.04724379529747253,-0.01026125423841696,0.0345526052923301,0.04477060775291589,0.03726946437628834,-0.08021095645952681,0.02807383476083439,0.00079434289625677,0.001549694585951175,0.006478770531495721
23,-0.04536477325607137,-0.01021800246058577,0.03443548724522693,0.04446294363789037,0.03383203601399489,-0.08337070012646031,0.02917974504426123,0.0007098137551645273,0.001123190853432074,0.005255742200965705
24,-0.04339449312210291,-0.01002745639266345,0.03406715636125503,0.04380073249206692,0.03073363249948916,-0.08518324091801333,0.02981413432130456,0.0006542749919975161,0.0008211668878622782,0.004253022039950479
25,-0.04138156868566371,-0.009733576130811883,0.03350116343318004,0.04287540258560127,0.02793125342725966,-0.08588500657605813,0.03005975230162046,0.0006122124175841353,0.000611816040604043,0.00344141113155959
26,-0.03936488246993791,-0.009374239152421224,0.03277584347356519,0.04175476118195671,0.0253931692666913,-0.08567588194663056,0.02998655868132067,0.0005719881084834695,0.0004669814650632542,0.002789284792244522
27,-0.03737410208705308,-0.008978917708391531,0.03192049276098966,0.04048903626813811,0.02309672871329553,-0.08472624453197497,0.02965418558619118,0.000527354209816752,0.0003646078133717399,0.002266307174798487
28,-0.03543069994206592,-0.008568543507148455,0.03095972872135903,0.03911644631271938,0.02102467600890931,-0.0831826386927661,0.02911392354246808,0.0004767779492679353,0.0002891314783680252,0.001845805178890947
29,-0.03354929760953314,-0.008156717591360357,0.02991593732563738,0.03766743219972383,0.01916184751408121,-0.08117177762616201,0.02841012216915674,0.0004218390858625986,0.0002306068110229272,0.001505815156480641
30,-0.03173911428652834,-0.00775149487408645,0.02881021510450334,0.03616739947241687,0.01749303359155455,-0.07880315411776984,0.02758110394121959,0.0003655511241124118,0.0001832836975456354,0.001229111163283764
31,-0.03000533379601932,-0.007357184367913524,0.02766237379060804,0.03463821876678942,0.01600207803632119,-0.07617074878345953,0.02665976207421085,0.0003110577352629541,0.0001441490810913066,0.001002611716397194
32,-0.02835027192634159,-0.006975844976181369,0.02649052511781774,0.03309888219807618,0.01467191841860272,-0.07335429731601018,0.02567400406060348,0.0002608485317730357,0.0001117230054040294,0.0008165210572142607
33,-0.02677429449111099,-0.006608357080258432,0.02531061552430683,0.03156570120815125,0.0134851594136944,-0.07042044310998996,0.02464715508849642,0.0002164469337058777,8.521654251931771e-05,0.0006634604358104191
34,-0.02527648968136696,-0.006255085683844415,0.02413611622804986,0.03005233808743126,0.01242481588904916,-0.06742394662309881,0.02359838131808468,0.0001784342491470392,6.403673649732757e-05,0.0005377349099651864
35,-0.02385513065847492,-0.005916221859381396,0.02297793903571565,0.02856984907816731,0.01147497624124515,-0.06440899672750433,0.02254314885462637,0.0001466588336464376,4.756080523733702e-05,0.0004347901810892915
