Quarter,y_lso,pi_lso,i_lso,r_lso,z_lso,res_lso,prem_lso,y_zaf,pi_zaf,i_zaf
1,0.6027335525749298,0.5606526271306875,0.2844516880522674,-0.3285457573766462,-0.6395093399252512,0,-4.768601353298851e-17,1.022624564845052,0.4099692389869551,0.2844516880522674
2,0.7813378622848707,0.6129974454289137,0.3076366007619288,-0.1627491170338931,-1.02005373719619,0.1918528019775758,-0.06714848069215129,0.456682061045799,0.4176629798576958,0.3747850814540799
3,0.7683582548189842,0.4703857177958223,0.1701710572775662,-0.1236138341207247,-1.136285488819283,0.4786836429386758,-0.1675392750285362,0.08560225096686787,0.2782961540910758,0.3377103323061021
4,0.6853130072498766,0.2937848913982912,-0.02998737330654399,-0.1836175165586177,-1.055225395991639,0.7717009252905935,-0.2700953238517075,-0.1225637339560611,0.1224566395858214,0.2401079505451632
5,0.5916334470339591,0.1536301432520738,-0.2218250814030136,-0.2908772934277063,-0.8644683739434488,1.011098451559026,-0.3538844580456589,-0.2072763274846343,0.005721781493583414,0.132059376642645
6,0.5120706649590185,0.06905221202469278,-0.3664594228706954,-0.3999636392229073,-0.6408603941038904,1.169329118586158,-0.4092651915051551,-0.2107411554647711,-0.05896545421506241,0.04280576863445957
7,0.4529088058294114,0.03350421635221186,-0.4518759740498009,-0.4827910852622759,-0.4368735097194145,1.244654324958709,-0.4356290137355481,-0.1707503328817049,-0.07972298510514143,-0.01624696031425285
8,0.4117403934353349,0.0309151112124751,-0.4837102190480643,-0.5285988779298773,-0.2792344565943305,1.251250945378662,-0.4379378308825317,-0.1159806594427891,-0.07201998714635897,-0.04577238816553268
9,0.3831768808551932,0.04488865888181299,-0.4761853498708033,-0.5391548359929319,-0.1742241886407704,1.209896187819095,-0.4234636657366831,-0.06463833091817917,-0.05090556133198561,-0.05272168413412026
10,0.3618790287039653,0.06296948612212862,-0.4452467842894544,-0.5229734771098866,-0.1152457005855307,1.141173825629417,-0.3994108389702956,-0.02564707276864592,-0.02750027105386294,-0.04583594531915895
11,0.343853951254936,0.0777266928204321,-0.4044372878375125,-0.4905245049579004,-0.08985431546035355,1.061630153242134,-0.3715705536347466,-0.001141795615997744,-0.008236794993302123,-0.03286673420276602
12,0.326717409936456,0.08608721712038785,-0.3631696772031978,-0.4511387013727921,-0.0849035406291898,0.9824234325560255,-0.3438482013946089,0.01079338467020504,0.00440786463627359,-0.01932147580858897
13,0.3094291445748075,0.08796902416959435,-0.3266729763951891,-0.4115528011559467,-0.08952314208344977,0.9096521514891798,-0.3183782530212128,0.01381361120317362,0.01061173802589222,-0.008294723373976302
14,0.2918426901676337,0.08487982476075769,-0.2968521046887257,-0.3756728049942826,-0.09626703153339719,0.8455438789652963,-0.2959403576378536,0.01171528396353054,0.011919152218849,-0.0009117470508720401
15,0.2742706947244296,0.07882070030555705,-0.2734528209542854,-0.3450507274282534,-0.1010197669035905,0.7898696005287853,-0.2764543601850749,0.007558535338231225,0.01025302662444937,0.00300153923078943
16,0.2571592781447863,0.07159790647396803,-0.2551395258716689,-0.319643287355895,-0.1022517220481225,0.7411885705469841,-0.2594159996914443,0.003360899452551875,0.007308086937771195,0.004276473819775397
